iter	Passed	Remaining
0	0	48
1	0	42
2	1	40
3	1	41
4	2	42
5	2	42
6	3	41
7	3	39
8	3	40
9	4	38
10	4	38
11	5	38
12	5	38
13	6	38
14	6	37
15	7	37
16	7	36
17	7	35
18	8	34
19	8	33
20	8	33
21	9	32
22	9	31
23	9	30
24	9	29
25	10	29
26	10	28
27	10	27
28	11	27
29	11	26
30	11	26
31	12	25
32	12	25
33	12	24
34	13	24
35	13	23
36	13	23
37	14	22
38	14	22
39	14	22
40	15	21
41	15	21
42	15	20
43	16	20
44	16	20
45	16	19
46	17	19
47	17	18
48	17	18
49	18	18
50	18	17
51	18	17
52	19	17
53	19	16
54	20	16
55	20	16
56	20	15
57	21	15
58	21	15
59	22	14
60	22	14
61	23	14
62	23	13
63	23	13
64	24	12
65	24	12
66	24	12
67	25	11
68	25	11
69	25	11
70	26	10
71	26	10
72	26	9
73	27	9
74	27	9
75	27	8
76	28	8
77	28	8
78	28	7
79	29	7
80	29	6
81	30	6
82	30	6
83	31	5
84	31	5
85	32	5
86	32	4
87	33	4
88	33	4
89	33	3
90	34	3
91	34	2
92	34	2
93	35	2
94	35	1
95	35	1
96	36	1
97	36	0
98	36	0
99	37	0
