iter	Passed	Remaining
0	1	1241
1	1	814
2	2	669
3	2	605
4	2	543
5	3	540
6	3	502
7	3	480
8	4	463
9	4	456
10	4	447
11	5	437
12	5	432
13	6	422
14	6	418
15	6	414
16	7	405
17	7	398
18	7	391
19	7	386
20	8	382
21	8	378
22	8	377
23	9	375
24	9	370
25	9	372
26	10	370
27	10	368
28	10	367
29	11	366
30	11	363
31	12	364
32	12	365
33	12	364
34	13	364
35	13	361
36	13	359
37	14	356
38	14	356
39	14	357
40	15	356
41	15	355
42	15	353
43	16	353
44	16	351
45	17	353
46	17	353
47	17	352
48	18	352
49	18	349
50	18	347
51	18	345
52	19	344
53	19	343
54	19	342
55	20	340
56	20	338
57	20	336
58	21	335
59	21	334
60	21	332
61	21	332
62	22	331
63	22	329
64	22	329
65	23	328
66	23	327
67	23	327
68	24	326
69	24	326
70	24	325
71	25	324
72	25	323
73	25	323
74	26	322
75	26	321
76	26	320
77	27	319
78	27	318
79	27	317
80	27	317
81	28	316
82	28	313
83	28	312
84	28	311
85	29	311
86	29	310
87	29	309
88	30	308
89	30	307
90	30	307
91	31	308
92	31	307
93	31	308
94	32	307
95	32	307
96	32	306
97	33	305
98	33	306
99	33	305
100	34	305
101	34	305
102	34	304
103	35	303
104	35	302
105	35	301
106	36	300
107	36	300
108	36	299
109	37	299
110	37	300
111	37	300
112	38	300
113	38	299
114	38	299
115	39	299
116	39	297
117	39	297
118	40	296
119	40	297
120	40	297
121	41	295
122	41	295
123	41	294
124	41	293
125	42	293
126	42	291
127	42	291
128	43	290
129	43	290
130	43	291
131	44	290
132	44	289
133	44	289
134	45	288
135	45	289
136	45	288
137	46	288
138	46	287
139	46	287
140	47	286
141	47	285
142	47	284
143	47	284
144	48	283
145	48	283
146	48	283
147	49	283
148	49	283
149	49	282
150	50	282
151	50	281
152	50	280
153	51	280
154	51	280
155	51	280
156	52	279
157	52	279
158	52	278
159	53	278
160	53	277
161	53	276
162	53	275
163	54	275
164	54	274
165	54	274
166	54	273
167	55	273
168	55	272
169	55	271
170	55	271
171	56	271
172	56	270
173	56	270
174	57	269
175	57	269
176	57	269
177	58	268
178	58	268
179	58	267
180	59	268
181	59	267
182	59	267
183	60	267
184	60	267
185	61	267
186	61	266
187	61	266
188	61	265
189	62	265
190	62	265
191	62	264
192	63	264
193	63	263
194	63	263
195	64	263
196	64	262
197	64	262
198	65	262
199	65	262
200	65	261
201	66	261
202	66	261
203	66	260
204	67	260
205	67	259
206	67	259
207	68	259
208	68	259
209	68	258
210	69	258
211	69	258
212	69	257
213	70	257
214	70	257
215	70	257
216	71	257
217	71	256
218	71	256
219	72	255
220	72	255
221	72	255
222	73	255
223	73	254
224	73	254
225	74	254
226	74	254
227	75	254
228	75	253
229	75	253
230	76	253
231	76	253
232	76	252
233	77	253
234	77	252
235	78	252
236	78	252
237	78	252
238	79	252
239	79	252
240	79	251
241	80	251
242	80	250
243	80	250
244	81	250
245	81	249
246	81	249
247	82	249
248	82	249
249	82	248
250	83	248
251	83	248
252	84	248
253	84	248
254	84	248
255	85	247
256	85	247
257	85	247
258	86	246
259	86	246
260	86	246
261	87	245
262	87	245
263	87	245
264	88	244
265	88	244
266	88	244
267	89	243
268	89	243
269	89	243
270	90	242
271	90	242
272	91	242
273	91	242
274	92	242
275	92	242
276	92	242
277	93	241
278	93	241
279	93	241
280	94	240
281	94	240
282	94	240
283	95	240
284	95	240
285	96	240
286	96	240
287	97	240
288	97	239
289	97	239
290	98	239
291	98	238
292	98	238
293	99	238
294	99	237
295	99	237
296	100	236
297	100	236
298	100	236
299	101	236
300	101	235
301	102	235
302	102	235
303	102	235
304	103	234
305	103	234
306	103	234
307	104	233
308	104	233
309	104	233
310	105	233
311	105	232
312	106	232
313	106	232
314	106	232
315	107	232
316	107	232
317	107	231
318	108	231
319	108	230
320	109	230
321	109	230
322	110	230
323	110	230
324	110	230
325	111	229
326	111	229
327	112	229
328	112	229
329	112	229
330	113	229
331	113	228
332	113	228
333	114	227
334	114	227
335	115	227
336	115	226
337	115	226
338	116	226
339	116	226
340	117	226
341	117	225
342	117	225
343	118	225
344	118	224
345	118	224
346	119	224
347	119	223
348	119	223
349	120	222
350	120	222
351	120	222
352	120	221
353	121	221
354	121	221
355	122	220
356	122	220
357	123	220
358	123	221
359	124	221
360	124	220
361	125	220
362	125	220
363	125	219
364	126	219
365	126	219
366	127	219
367	127	218
368	127	218
369	128	218
370	128	218
371	129	217
372	129	217
373	129	217
374	130	217
375	130	216
376	131	216
377	131	216
378	131	215
379	132	215
380	132	215
381	132	214
382	133	214
383	133	214
384	133	213
385	135	215
386	136	215
387	136	215
388	137	215
389	137	214
390	137	214
391	138	214
392	138	214
393	139	213
394	139	213
395	139	213
396	140	213
397	140	212
398	141	212
399	141	212
400	141	211
401	142	211
402	142	211
403	142	210
404	143	210
405	143	210
406	143	209
407	144	209
408	144	209
409	145	208
410	145	208
411	145	208
412	146	207
413	146	207
414	146	207
415	147	206
416	147	206
417	147	206
418	148	205
419	148	205
420	148	204
421	149	204
422	149	204
423	150	203
424	150	203
425	150	203
426	151	202
427	151	202
428	151	202
429	152	202
430	153	202
431	154	202
432	154	202
433	154	202
434	155	201
435	155	201
436	155	200
437	156	200
438	156	200
439	156	199
440	157	199
441	157	198
442	157	198
443	158	198
444	158	197
445	158	197
446	159	196
447	159	196
448	159	196
449	160	195
450	160	195
451	161	195
452	161	194
453	161	194
454	162	194
455	162	193
456	162	193
457	163	193
458	163	192
459	163	192
460	164	191
461	164	191
462	164	191
463	165	190
464	165	190
465	165	189
466	166	189
467	166	189
468	166	188
469	167	188
470	167	188
471	168	188
472	168	187
473	168	187
474	169	186
475	169	186
476	169	186
477	170	185
478	170	185
479	170	184
480	171	184
481	171	184
482	171	183
483	171	183
484	172	182
485	172	182
486	172	182
487	173	181
488	173	181
489	173	180
490	173	180
491	174	179
492	174	179
493	174	179
494	175	178
495	175	178
496	175	178
497	176	177
498	176	177
499	176	176
500	177	176
501	177	176
502	177	175
503	178	175
504	178	174
505	178	174
506	178	173
507	179	173
508	179	173
509	179	172
510	180	172
511	180	171
512	180	171
513	181	171
514	181	170
515	181	170
516	182	170
517	182	169
518	182	169
519	182	168
520	183	168
521	183	168
522	183	167
523	184	167
524	184	166
525	184	166
526	184	165
527	185	165
528	185	165
529	185	164
530	185	164
531	186	163
532	186	163
533	186	162
534	186	162
535	187	162
536	187	161
537	187	161
538	187	160
539	188	160
540	188	159
541	188	159
542	188	159
543	189	158
544	189	158
545	189	157
546	190	157
547	190	156
548	190	156
549	190	156
550	191	155
551	191	155
552	191	154
553	191	154
554	192	154
555	192	153
556	192	153
557	193	152
558	193	152
559	193	152
560	193	151
561	194	151
562	194	150
563	194	150
564	194	149
565	195	149
566	195	149
567	195	148
568	195	148
569	196	147
570	196	147
571	196	147
572	196	146
573	197	146
574	197	145
575	197	145
576	198	145
